num,Economy,Code,Region,Income group,year,Internet value,Total population,GDP (US$),Life Expectancy (Years),GDP per capita income,Fertility (Births per woman)
1,Albania,ALB,Europe & Central Asia,Upper middle income,2000,0.11,3089027,3480355258.04122,73.955,3861.3419654385,2.157
2,Algeria,DZA,Middle East & North Africa,Upper middle income,2000,0.49,31183660,54790245600.5846,70.292,8091.6054267814,2.514
3,Andorra,AND,Europe & Central Asia,High income,2000,10.54,65390,1434429703.33518,NA,NA,NA
4,Angola,AGO,Sub-Saharan Africa,Upper middle income,2000,0.11,16440924,9129594818.60749,47.113,3075.9003757411,6.639
5,Anguilla,NA,NA,NA,2000,22.41,NA,NA,NA,NA,NA
6,Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2000,6.48,83584,830158768.888889,73.541,14983.8455388895,2.316
7,Argentina,ARG,Latin America & Caribbean,Upper middle income,2000,7.04,37057452,284203750000,73.832,11807.2517284392,2.561
8,Armenia,ARM,Europe & Central Asia,Lower middle income,2000,1.3,3069588,1911563665.39006,71.409,2317.6865602247,1.648
9,Aruba,ABW,Latin America & Caribbean,High income,2000,15.44,90853,1873452513.96648,73.787,32982.3260095604,1.872
10,Ascension,NA,NA,NA,2000,34.94,NA,NA,NA,NA,NA
11,Australia,AUS,East Asia & Pacific,High income,2000,46.76,19153000,415034227218.489,79.2341463415,26316.7270837216,1.756
12,Austria,AUT,Europe & Central Asia,High income,2000,33.73,8011566,196799778883.361,78.1268292683,29380.0660424793,1.36
13,Azerbaijan,AZE,Europe & Central Asia,Upper middle income,2000,0.15,8048600,5272617196.04517,66.763,3533.4883240857,2
14,Bahamas,NA,NA,NA,2000,8,NA,NA,NA,NA,NA
15,Bahrain,BHR,Middle East & North Africa,High income,2000,6.15,664614,9062906914.89362,74.44,35614.1270150442,2.795
16,Bangladesh,BGD,South Asia,Lower middle income,2000,0.07,131581243,53369787318.6245,65.324,1301.1536642211,3.17
17,Barbados,BRB,Latin America & Caribbean,High income,2000,3.97,269847,3121500000,73.377,12272.1342386923,1.744
18,Belarus,BLR,Europe & Central Asia,Upper middle income,2000,1.86,9979610,12736856827.9847,68.912195122,6002.2608471936,1.317
19,Belgium,BEL,Europe & Central Asia,High income,2000,29.43,10251250,237904919845.218,77.7219512195,27988.4736100195,1.67
20,Belize,BLZ,Latin America & Caribbean,Upper middle income,2000,5.96,247315,832072450,68.329,5510.3901594723,3.6
21,Benin,BEN,Sub-Saharan Africa,Low income,2000,0.23,6865951,2569186642.86999,55.391,1320.5753324417,5.962
22,Bermuda,BMU,North America,High income,2000,42.95,61833,3480219000,77.8853658537,40525.5648551318,1.74
23,Bhutan,BTN,South Asia,Lower middle income,2000,0.4,573416,439158233.199822,60.758,2804.2654580864,3.604
24,Bolivia (Plurinational State of),NA,NA,NA,2000,1.44,NA,NA,NA,NA,NA
25,Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,2000,1.08,3766706,5505984455.95855,74.413,4529.313616511,1.497
26,Botswana,BWA,Sub-Saharan Africa,Upper middle income,2000,2.9,1728340,5788329609.15755,49.03,8075.7607330526,3.387
27,Brazil,BRA,Latin America & Caribbean,Upper middle income,2000,2.87,175287587,655420645498.885,70.055,9010.6119041053,2.3
28,Brunei Darussalam,BRN,East Asia & Pacific,High income,2000,9,333241,6001153306.2645,75.202,65019.36274901,2.218
29,Bulgaria,BGR,Europe & Central Asia,Upper middle income,2000,5.37,8170172,13153016530.8718,71.6634146341,6377.8468221498,1.26
30,Burkina Faso,BFA,Sub-Saharan Africa,Low income,2000,0.08,11607942,2628920056.10098,50.489,852.1861877219,6.592
31,Burundi,BDI,Sub-Saharan Africa,Low income,2000,0.08,6400706,870486065.883137,51.545,567.0095940539,7.008
32,Cabo Verde,CPV,Sub-Saharan Africa,Lower middle income,2000,1.82,435079,539227277.626411,69.747,3039.1961484815,3.762
33,Cambodia,KHM,East Asia & Pacific,Lower middle income,2000,0.05,12152354,3677897739.07628,58.432,1097.4944313348,3.805
34,Cameroon,CMR,Sub-Saharan Africa,Lower middle income,2000,0.25,15274234,10083937740.0624,50.026,2063.3325351963,5.58
35,Canada,CAN,North America,High income,2000,51.3,30769700,742293448252.643,79.1365853659,29185.141084618,1.488
36,Central African Rep.,NA,NA,NA,2000,0.05,NA,NA,NA,NA,NA
37,Chad,TCD,Sub-Saharan Africa,Low income,2000,0.04,8342559,1385058161.76746,47.593,787.0378363449,7.354
38,Chile,CHL,Latin America & Caribbean,High income,2000,16.6,15262754,77860932151.8471,76.793,9603.3908122499,2.107
39,China,CHN,East Asia & Pacific,Upper middle income,2000,1.78,1262645000,1211346869605.24,71.955,2932.6169757375,1.497
40,Colombia,COL,Latin America & Caribbean,Upper middle income,2000,2.21,40403958,99886577330.7271,71.019,6539.2583143741,2.389
41,Comoros,COM,Sub-Saharan Africa,Low income,2000,0.27,542357,350264287.687331,59.46,1892.7522384205,5.384
42,Congo (Rep. of the),NA,NA,NA,2000,0.03,NA,NA,NA,NA,NA
43,Costa Rica,CRI,Latin America & Caribbean,Upper middle income,2000,5.8,3925443,14949514493.4226,77.448,7827.9502082236,2.373
44,C�te d'Ivoire,NA,NA,NA,2000,0.23,NA,NA,NA,NA,NA
45,Croatia,HRV,Europe & Central Asia,High income,2000,6.64,4468302,21774273831.5586,72.807804878,10653.0887197273,1.39
46,Cuba,CUB,Latin America & Caribbean,Upper middle income,2000,0.54,11150736,30565400000,76.658,NA,1.617
47,Cyprus,CYP,Europe & Central Asia,High income,2000,15.26,943286,9985843543.82658,78.01,21291.4735082902,1.716
48,Czech Republic,CZE,Europe & Central Asia,High income,2000,9.78,10255063,61649492816.5201,74.9682926829,16190.8050276551,1.15
49,Dem. People's Rep. of Korea,NA,NA,NA,2000,0,NA,NA,NA,NA,NA
50,Dem. Rep. of the Congo,NA,NA,NA,2000,0.01,NA,NA,NA,NA,NA
51,Denmark,DNK,Europe & Central Asia,High income,2000,39.17,5339616,164158800460.219,76.5926829268,28662.1054520955,1.77
52,Djibouti,DJI,Middle East & North Africa,Lower middle income,2000,0.19,717584,551230861.856506,57.021,NA,4.484
53,Dominica,DMA,Latin America & Caribbean,Upper middle income,2000,8.81,69676,333468888.888889,NA,6519.4217255929,NA
54,Dominican Rep.,NA,NA,NA,2000,3.7,NA,NA,NA,NA,NA
55,Ecuador,ECU,Latin America & Caribbean,Upper middle income,2000,1.46,12628596,18327764882.4412,72.933,5854.2416873475,3.027
56,Egypt,NA,NA,NA,2000,0.64,NA,NA,NA,NA,NA
